"product_id","mode","recommended_product_ids","created_at","updated_at"
"792","manual","801,803,800,802,826,804","2026-01-28T18:50:25.672Z","2026-01-28T18:50:25.672Z"
"843","manual","641,643,642,647","2026-02-15T08:46:47.336Z","2026-02-15T08:46:47.336Z"
"844","manual","679,675,678,677,832,680,673,647,646,641,643,640","2026-02-15T08:43:30.464Z","2026-02-15T08:44:36.808Z"
"845","manual","641,643,640,642,681,684,683","2026-01-25T11:51:04.469Z","2026-01-25T11:51:04.469Z"
"846","manual","679,673,646,682","2026-02-16T02:31:35.295Z","2026-02-16T02:31:35.295Z"
"847","manual","679,832,642,684","2026-02-16T02:27:05.824Z","2026-02-16T02:27:17.720Z"
"850","manual","640,678,693,832","2026-02-16T02:30:17.431Z","2026-02-16T02:35:22.238Z"
"851","manual","675,679,642,869","2026-02-16T02:39:49.542Z","2026-02-16T02:39:49.542Z"
"853","manual","675,677,643,697","2026-02-16T02:28:42.024Z","2026-02-16T02:28:42.024Z"
"874","manual","884,883,885,886","2026-04-03T15:28:31.915Z","2026-04-03T15:28:31.915Z"
"875","manual","884,885,886,883","2026-04-03T15:31:33.485Z","2026-04-03T15:31:33.485Z"
"877","manual","884,885,886,883","2026-04-03T15:42:48.211Z","2026-04-03T15:42:48.211Z"
"879","manual","885,886,884,883","2026-04-03T15:47:08.845Z","2026-04-03T15:47:08.845Z"
"880","manual","884,883,885,886","2026-04-03T15:50:00.845Z","2026-04-03T15:50:00.845Z"
"881","manual","884,885,886,844,845,843,840,856,849","2026-04-03T15:56:48.013Z","2026-04-03T15:56:48.013Z"
"889","none","","2026-05-17T10:43:14.993Z","2026-05-17T10:43:14.993Z"
"891","none","","2026-05-21T08:57:19.503Z","2026-05-21T08:57:19.503Z"